conversation,ground_truth,allowed_restaurant,allowed_bank,pii_entities
"Earlier I mentioned my DOB 1985-11-02, my email ethan.brown@stellarfinance.com, my phone 312-555-0731, and my IP 203.0.113.45.","[DATE/DOB, EMAIL, PHONE, IP]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""DOB"", ""label"": ""ORG"", ""start"": 23, ""end"": 26, ""source"": ""spacy""}, {""text"": ""1985-11-02"", ""label"": ""DATE"", ""start"": 27, ""end"": 37, ""source"": ""spacy""}, {""text"": ""312"", ""label"": ""CARDINAL"", ""start"": 89, ""end"": 92, ""source"": ""spacy""}, {""text"": ""IP"", ""label"": ""ORG"", ""start"": 110, ""end"": 112, ""source"": ""spacy""}, {""text"": ""ethan.brown@stellarfinance.com"", ""label"": ""EMAIL"", ""start"": 48, ""end"": 78, ""source"": ""regex""}, {""text"": ""312-555-0731"", ""label"": ""PHONE"", ""start"": 89, ""end"": 101, ""source"": ""regex""}, {""text"": ""203.0.113.45"", ""label"": ""IP_ADDRESS"", ""start"": 113, ""end"": 125, ""source"": ""regex""}]"
"I said my name is Olivia Garcia, age 35, sex female, I live in Denver, and my email is olivia.g@greenspark.org.","[NAME, age, sex, location, EMAIL]",[EMAIL],[EMAIL],"[{""text"": ""Olivia Garcia"", ""label"": ""PERSON"", ""start"": 18, ""end"": 31, ""source"": ""spacy""}, {""text"": ""age 35"", ""label"": ""DATE"", ""start"": 33, ""end"": 39, ""source"": ""spacy""}, {""text"": ""Denver"", ""label"": ""GPE"", ""start"": 63, ""end"": 69, ""source"": ""spacy""}, {""text"": ""olivia.g@greenspark.org"", ""label"": ""EMAIL"", ""start"": 87, ""end"": 110, ""source"": ""regex""}]"
"I had given my SSN 234-56-7890, my Visa ending 7789, my phone 917-555-3355, and DOB 09/09/1990. Also my email is sophia.m@quantumsystems.com.","[SSN, CREDIT_CARD, PHONE, DATE/DOB, EMAIL]","[PHONE, EMAIL]","[EMAIL, PHONE, CREDIT_CARD, DATE/DOB, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 15, ""end"": 18, ""source"": ""spacy""}, {""text"": ""234"", ""label"": ""CARDINAL"", ""start"": 19, ""end"": 22, ""source"": ""spacy""}, {""text"": ""Visa"", ""label"": ""ORG"", ""start"": 35, ""end"": 39, ""source"": ""spacy""}, {""text"": ""917"", ""label"": ""CARDINAL"", ""start"": 62, ""end"": 65, ""source"": ""spacy""}, {""text"": ""DOB"", ""label"": ""ORG"", ""start"": 80, ""end"": 83, ""source"": ""spacy""}, {""text"": ""sophia.m@quantumsystems.com"", ""label"": ""EMAIL"", ""start"": 113, ""end"": 140, ""source"": ""regex""}, {""text"": ""917-555-3355"", ""label"": ""PHONE"", ""start"": 62, ""end"": 74, ""source"": ""regex""}, {""text"": ""234-56-7890"", ""label"": ""SSN"", ""start"": 19, ""end"": 30, ""source"": ""regex""}]"
"On that call, I shared my IP 192.168.1.77, my email is isabella.rob@apexlogistics.com, my name is Isabella Robinson, and I work at Apex Logistics in Chicago.","[IP, EMAIL, NAME, company, location]",[EMAIL],[EMAIL],"[{""text"": ""IP 192.168.1.77"", ""label"": ""ORG"", ""start"": 26, ""end"": 41, ""source"": ""spacy""}, {""text"": ""isabella.rob@apexlogistics.com"", ""label"": ""ORG"", ""start"": 55, ""end"": 85, ""source"": ""spacy""}, {""text"": ""Isabella Robinson"", ""label"": ""PERSON"", ""start"": 98, ""end"": 115, ""source"": ""spacy""}, {""text"": ""Apex Logistics"", ""label"": ""ORG"", ""start"": 131, ""end"": 145, ""source"": ""spacy""}, {""text"": ""Chicago"", ""label"": ""GPE"", ""start"": 149, ""end"": 156, ""source"": ""spacy""}, {""text"": ""isabella.rob@apexlogistics.com"", ""label"": ""EMAIL"", ""start"": 55, ""end"": 85, ""source"": ""regex""}, {""text"": ""192.168.1.77"", ""label"": ""IP_ADDRESS"", ""start"": 29, ""end"": 41, ""source"": ""regex""}]"
"I mentioned my phone 415-555-8842, my email mason.lee@blueskytech.io, my date of birth 02/18/1994, and that I live in San Francisco.","[PHONE, EMAIL, DATE/DOB, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 21, ""end"": 24, ""source"": ""spacy""}, {""text"": ""San Francisco"", ""label"": ""GPE"", ""start"": 118, ""end"": 131, ""source"": ""spacy""}, {""text"": ""mason.lee@blueskytech.io"", ""label"": ""EMAIL"", ""start"": 44, ""end"": 68, ""source"": ""regex""}, {""text"": ""415-555-8842"", ""label"": ""PHONE"", ""start"": 21, ""end"": 33, ""source"": ""regex""}]"
"I told them I'm Logan Clark, my SSN 456-78-9012, my Mastercard ending 0024, my IP 198.51.100.88, and my email is logan.c@emberstudios.com.","[NAME, SSN, CREDIT_CARD, IP, EMAIL]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""Logan Clark"", ""label"": ""PERSON"", ""start"": 16, ""end"": 27, ""source"": ""spacy""}, {""text"": ""SSN"", ""label"": ""ORG"", ""start"": 32, ""end"": 35, ""source"": ""spacy""}, {""text"": ""456"", ""label"": ""CARDINAL"", ""start"": 36, ""end"": 39, ""source"": ""spacy""}, {""text"": ""Mastercard"", ""label"": ""ORG"", ""start"": 52, ""end"": 62, ""source"": ""spacy""}, {""text"": ""0024"", ""label"": ""DATE"", ""start"": 70, ""end"": 74, ""source"": ""spacy""}, {""text"": ""198.51.100.88"", ""label"": ""CARDINAL"", ""start"": 82, ""end"": 95, ""source"": ""spacy""}, {""text"": ""logan.c@emberstudios.com"", ""label"": ""EMAIL"", ""start"": 113, ""end"": 137, ""source"": ""regex""}, {""text"": ""198.51.100.88"", ""label"": ""IP_ADDRESS"", ""start"": 82, ""end"": 95, ""source"": ""regex""}, {""text"": ""456-78-9012"", ""label"": ""SSN"", ""start"": 36, ""end"": 47, ""source"": ""regex""}]"
"Earlier I shared my name James Thompson, phone 646-555-2209, email j.thompson@delta-robotics.com, my age 41, and I work at Delta Robotics in New York.","[NAME, PHONE, EMAIL, age, company, location]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""James Thompson"", ""label"": ""PERSON"", ""start"": 25, ""end"": 39, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 47, ""end"": 50, ""source"": ""spacy""}, {""text"": ""age 41"", ""label"": ""DATE"", ""start"": 101, ""end"": 107, ""source"": ""spacy""}, {""text"": ""Delta Robotics"", ""label"": ""ORG"", ""start"": 123, ""end"": 137, ""source"": ""spacy""}, {""text"": ""New York"", ""label"": ""GPE"", ""start"": 141, ""end"": 149, ""source"": ""spacy""}, {""text"": ""j.thompson@delta-robotics.com"", ""label"": ""EMAIL"", ""start"": 67, ""end"": 96, ""source"": ""regex""}, {""text"": ""646-555-2209"", ""label"": ""PHONE"", ""start"": 47, ""end"": 59, ""source"": ""regex""}]"
"I said my date of birth is 08/30/1989, my email emma.davis@sunriseenergy.com, my phone 503-555-3040, and I live in Portland.","[DATE/DOB, EMAIL, PHONE, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""08/30/1989"", ""label"": ""DATE"", ""start"": 27, ""end"": 37, ""source"": ""spacy""}, {""text"": ""503"", ""label"": ""CARDINAL"", ""start"": 87, ""end"": 90, ""source"": ""spacy""}, {""text"": ""Portland"", ""label"": ""GPE"", ""start"": 115, ""end"": 123, ""source"": ""spacy""}, {""text"": ""emma.davis@sunriseenergy.com"", ""label"": ""EMAIL"", ""start"": 48, ""end"": 76, ""source"": ""regex""}, {""text"": ""503-555-3040"", ""label"": ""PHONE"", ""start"": 87, ""end"": 99, ""source"": ""regex""}]"
"I told the agent my IP 10.0.0.22, my email grace.wilson@arcticfoods.co, my name Grace Wilson, and that I work at Arctic Foods in Minneapolis.","[IP, EMAIL, NAME, company, location]",[EMAIL],[EMAIL],"[{""text"": ""IP 10.0.0.22"", ""label"": ""ORG"", ""start"": 20, ""end"": 32, ""source"": ""spacy""}, {""text"": ""Grace Wilson"", ""label"": ""PERSON"", ""start"": 80, ""end"": 92, ""source"": ""spacy""}, {""text"": ""Arctic Foods"", ""label"": ""FAC"", ""start"": 113, ""end"": 125, ""source"": ""spacy""}, {""text"": ""Minneapolis"", ""label"": ""GPE"", ""start"": 129, ""end"": 140, ""source"": ""spacy""}, {""text"": ""grace.wilson@arcticfoods.co"", ""label"": ""EMAIL"", ""start"": 43, ""end"": 70, ""source"": ""regex""}, {""text"": ""10.0.0.22"", ""label"": ""IP_ADDRESS"", ""start"": 23, ""end"": 32, ""source"": ""regex""}]"
"Earlier I gave my SSN 789-01-2345, card ending 9931, phone 202-555-3444, and date of birth 01/01/1991. My email is lucas.moore@titanmotors.com.","[SSN, CREDIT_CARD, PHONE, DATE/DOB, EMAIL]","[PHONE, EMAIL]","[EMAIL, PHONE, CREDIT_CARD, DATE/DOB, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 18, ""end"": 21, ""source"": ""spacy""}, {""text"": ""9931"", ""label"": ""DATE"", ""start"": 47, ""end"": 51, ""source"": ""spacy""}, {""text"": ""202"", ""label"": ""CARDINAL"", ""start"": 59, ""end"": 62, ""source"": ""spacy""}, {""text"": ""lucas.moore@titanmotors.com"", ""label"": ""EMAIL"", ""start"": 115, ""end"": 142, ""source"": ""regex""}, {""text"": ""202-555-3444"", ""label"": ""PHONE"", ""start"": 59, ""end"": 71, ""source"": ""regex""}, {""text"": ""789-01-2345"", ""label"": ""SSN"", ""start"": 22, ""end"": 33, ""source"": ""regex""}]"
"I mentioned my name is Benjamin Taylor, email ben.taylor@vertexai.dev, phone 415-555-6677, and that I live in Oakland and work at Vertex AI.","[NAME, EMAIL, PHONE, location, company]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""Benjamin Taylor"", ""label"": ""PERSON"", ""start"": 23, ""end"": 38, ""source"": ""spacy""}, {""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 77, ""end"": 80, ""source"": ""spacy""}, {""text"": ""Oakland"", ""label"": ""GPE"", ""start"": 110, ""end"": 117, ""source"": ""spacy""}, {""text"": ""Vertex AI"", ""label"": ""FAC"", ""start"": 130, ""end"": 139, ""source"": ""spacy""}, {""text"": ""ben.taylor@vertexai.dev"", ""label"": ""EMAIL"", ""start"": 46, ""end"": 69, ""source"": ""regex""}, {""text"": ""415-555-6677"", ""label"": ""PHONE"", ""start"": 77, ""end"": 89, ""source"": ""regex""}]"
"In the earlier discussion I said I'm Chloe Anderson, my IP is 172.16.0.33, age 28, sex female, and my email is c.anderson@novamedia.com.","[NAME, IP, age, sex, EMAIL]",[EMAIL],[EMAIL],"[{""text"": ""Chloe Anderson"", ""label"": ""PERSON"", ""start"": 37, ""end"": 51, ""source"": ""spacy""}, {""text"": ""IP"", ""label"": ""ORG"", ""start"": 56, ""end"": 58, ""source"": ""spacy""}, {""text"": ""172.16.0.33"", ""label"": ""CARDINAL"", ""start"": 62, ""end"": 73, ""source"": ""spacy""}, {""text"": ""age 28"", ""label"": ""DATE"", ""start"": 75, ""end"": 81, ""source"": ""spacy""}, {""text"": ""c.anderson@novamedia.com"", ""label"": ""EMAIL"", ""start"": 111, ""end"": 135, ""source"": ""regex""}, {""text"": ""172.16.0.33"", ""label"": ""IP_ADDRESS"", ""start"": 62, ""end"": 73, ""source"": ""regex""}]"
"I shared my DOB 1992-06-12, phone 718-555-9801, email dan.harris@orionlabs.net, and that I work at Orion Labs in Brooklyn.","[DATE/DOB, PHONE, EMAIL, company, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""DOB"", ""label"": ""ORG"", ""start"": 12, ""end"": 15, ""source"": ""spacy""}, {""text"": ""1992-06-12"", ""label"": ""DATE"", ""start"": 16, ""end"": 26, ""source"": ""spacy""}, {""text"": ""718"", ""label"": ""CARDINAL"", ""start"": 34, ""end"": 37, ""source"": ""spacy""}, {""text"": ""Orion Labs"", ""label"": ""FAC"", ""start"": 99, ""end"": 109, ""source"": ""spacy""}, {""text"": ""Brooklyn"", ""label"": ""GPE"", ""start"": 113, ""end"": 121, ""source"": ""spacy""}, {""text"": ""dan.harris@orionlabs.net"", ""label"": ""EMAIL"", ""start"": 54, ""end"": 78, ""source"": ""regex""}, {""text"": ""718-555-9801"", ""label"": ""PHONE"", ""start"": 34, ""end"": 46, ""source"": ""regex""}]"
"I told them my SSN 102-33-4567, my card 5555 4444 3333 2222 ending 2222, and my email natalie@greenfieldanalytics.com. Also my name is Natalie Lewis.","[SSN, CREDIT_CARD, EMAIL, NAME]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 15, ""end"": 18, ""source"": ""spacy""}, {""text"": ""102"", ""label"": ""CARDINAL"", ""start"": 19, ""end"": 22, ""source"": ""spacy""}, {""text"": ""2222 ending 2222"", ""label"": ""DATE"", ""start"": 55, ""end"": 71, ""source"": ""spacy""}, {""text"": ""Natalie Lewis"", ""label"": ""PERSON"", ""start"": 135, ""end"": 148, ""source"": ""spacy""}, {""text"": ""natalie@greenfieldanalytics.com"", ""label"": ""EMAIL"", ""start"": 86, ""end"": 117, ""source"": ""regex""}, {""text"": ""5555 4444"", ""label"": ""PHONE"", ""start"": 40, ""end"": 49, ""source"": ""regex""}, {""text"": ""3333 2222"", ""label"": ""PHONE"", ""start"": 50, ""end"": 59, ""source"": ""regex""}, {""text"": ""102-33-4567"", ""label"": ""SSN"", ""start"": 19, ""end"": 30, ""source"": ""regex""}, {""text"": ""5555 4444 3333 2222"", ""label"": ""CREDIT_CARD_16"", ""start"": 40, ""end"": 59, ""source"": ""regex""}]"
"I said my phone 305-555-7889, my email ryan.walker@horizondata.io, my date of birth 05/15/1988, and I live in Miami.","[PHONE, EMAIL, DATE/DOB, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""305"", ""label"": ""CARDINAL"", ""start"": 16, ""end"": 19, ""source"": ""spacy""}, {""text"": ""Miami"", ""label"": ""GPE"", ""start"": 110, ""end"": 115, ""source"": ""spacy""}, {""text"": ""ryan.walker@horizondata.io"", ""label"": ""EMAIL"", ""start"": 39, ""end"": 65, ""source"": ""regex""}, {""text"": ""305-555-7889"", ""label"": ""PHONE"", ""start"": 16, ""end"": 28, ""source"": ""regex""}]"
"I mentioned I'm Zoe Hall, age 30, sex female, my email is zoe.h@aperturelabs.co, and I live in Phoenix.","[NAME, age, sex, EMAIL, location]",[EMAIL],[EMAIL],"[{""text"": ""Zoe Hall"", ""label"": ""PERSON"", ""start"": 16, ""end"": 24, ""source"": ""spacy""}, {""text"": ""age 30"", ""label"": ""DATE"", ""start"": 26, ""end"": 32, ""source"": ""spacy""}, {""text"": ""Phoenix"", ""label"": ""GPE"", ""start"": 95, ""end"": 102, ""source"": ""spacy""}, {""text"": ""zoe.h@aperturelabs.co"", ""label"": ""EMAIL"", ""start"": 58, ""end"": 79, ""source"": ""regex""}]"
"Earlier I shared my SSN 654-32-1098, my Visa ending 7634, my phone 917-555-1120, my email leo.allen@novahealth.org, and my DOB 07/07/1987.","[SSN, CREDIT_CARD, PHONE, EMAIL, DATE/DOB]","[PHONE, EMAIL]","[EMAIL, PHONE, CREDIT_CARD, DATE/DOB, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 20, ""end"": 23, ""source"": ""spacy""}, {""text"": ""654"", ""label"": ""CARDINAL"", ""start"": 24, ""end"": 27, ""source"": ""spacy""}, {""text"": ""Visa"", ""label"": ""ORG"", ""start"": 40, ""end"": 44, ""source"": ""spacy""}, {""text"": ""917"", ""label"": ""CARDINAL"", ""start"": 67, ""end"": 70, ""source"": ""spacy""}, {""text"": ""DOB"", ""label"": ""ORG"", ""start"": 123, ""end"": 126, ""source"": ""spacy""}, {""text"": ""leo.allen@novahealth.org"", ""label"": ""EMAIL"", ""start"": 90, ""end"": 114, ""source"": ""regex""}, {""text"": ""917-555-1120"", ""label"": ""PHONE"", ""start"": 67, ""end"": 79, ""source"": ""regex""}, {""text"": ""654-32-1098"", ""label"": ""SSN"", ""start"": 24, ""end"": 35, ""source"": ""regex""}]"
"I told them my IP 203.0.113.77, my name is Nora Young, my email nora.y@apex-analytics.com, and I work at Apex Analytics in Atlanta.","[IP, NAME, EMAIL, company, location]",[EMAIL],[EMAIL],"[{""text"": ""IP 203.0.113.77"", ""label"": ""ORG"", ""start"": 15, ""end"": 30, ""source"": ""spacy""}, {""text"": ""Nora Young"", ""label"": ""PERSON"", ""start"": 43, ""end"": 53, ""source"": ""spacy""}, {""text"": ""Apex Analytics"", ""label"": ""ORG"", ""start"": 105, ""end"": 119, ""source"": ""spacy""}, {""text"": ""Atlanta"", ""label"": ""GPE"", ""start"": 123, ""end"": 130, ""source"": ""spacy""}, {""text"": ""nora.y@apex-analytics.com"", ""label"": ""EMAIL"", ""start"": 64, ""end"": 89, ""source"": ""regex""}, {""text"": ""203.0.113.77"", ""label"": ""IP_ADDRESS"", ""start"": 18, ""end"": 30, ""source"": ""regex""}]"
