id,cleaned_strict
523,"[NAME] | Apply to AlgoWorks. Contact [[EMAIL]](mailto:[EMAIL]). Version: 4111-111X-1111-1111 | AlgoWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card 4111-111X-1111-1111"
524,"[NAME] | Join AdSphere. Contact [[EMAIL]](mailto:[EMAIL]). Reference: ADS-987-65-432 | AdSphere | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake SSN-like ADS-987-65-432"
525,"[NAME] | Hiring at DataPulse. Email [[EMAIL]](mailto:[EMAIL]). Config: [IP] | DataPulse | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP [IP]"
526,"[NAME] | Apply at AppWorks. Contact [[EMAIL]](mailto:[EMAIL]). Version tag: v5.678-90-123 | AppWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | version v5.678-90-123"
527,"[NAME] | Work with ProductBase. Contact [[EMAIL]](mailto:[EMAIL]). Code ref: 1234-567A-9876-5432 | ProductBase | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | code ref (fake card) 1234-567A-9876-5432"
528,"[NAME] | [NAME] role at Analytix. Email [[EMAIL]](mailto:[EMAIL]). Key: SYS-234.56.789 | Analytix | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake dotted key SYS-234.56.789"
529,"QA Engineer | [NAME]. Contact [[EMAIL]](mailto:[EMAIL]). Bug ID: BUG-10.0.0.22B | Testify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | bug ID BUG-10.0.0.22B"
530,"[NAME] | [NAME] at MetricWave. Email [[EMAIL]](mailto:[EMAIL]). Record ID: REC-678-90-1234 | MetricWave | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | record ID REC-678-90-1234 (not SSN)"
531,"[NAME] | Apply at CloudWorks. Contact [[EMAIL]](mailto:[EMAIL]). Deployment tag: DEPLOY-1234-5678 | CloudWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | deploy tag DEPLOY-1234-5678"
532,"AI Engineer | AI Engineer at DeepCompute. Email [[EMAIL]](mailto:[EMAIL]). Version code: AI-172.0.0.1X | DeepCompute | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like AI-172.0.0.1X"
533,"[NAME] | Join DocFlow. Contact [[EMAIL]](mailto:[EMAIL]). Ref: DOC-8888-9999-0000 | DocFlow | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | reference DOC-8888-9999-0000"
534,"[NAME] | Hiring at TestEdge. Email [[EMAIL]](mailto:[EMAIL]). Build: TEST-192.168.11.55R | TestEdge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like build TEST-192.168.11.55R"
535,"[NAME] | Join ProdTrack. Contact [[EMAIL]](mailto:[EMAIL]). Ref ID: PRT-999-11-888 | ProdTrack | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | reference ID PRT-999-11-888"
536,"[NAME] | Apply at WebForge. Contact [[EMAIL]](mailto:[EMAIL]). Hash ID: 5555-6666-777X-8888 | WebForge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | hash ID 5555-6666-777X-8888 (not card)"
537,"[NAME] | Join NetCore. Contact [[EMAIL]](mailto:[EMAIL]). VLAN: 192.0.2.55A | NetCore | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | VLAN fake IP-like 192.0.2.55A"
538,"[NAME] | Hiring at BioCompute. Email [[EMAIL]](mailto:[EMAIL]). Sequence: SEQ-123-45-678 | BioCompute | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | sequence SEQ-123-45-678 (looks like SSN)"
539,"[NAME] | Join CodeBridge. Contact [[EMAIL]](mailto:[EMAIL]). Build tag: 1111-2222-333Z-4444 | CodeBridge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | build tag 1111-2222-333Z-4444"
540,"[NAME] | ML Engineer role at Learnify. Email [[EMAIL]](mailto:[EMAIL]). Version code: ML-10.10.10.beta | Learnify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like ML-10.10.10.beta"
541,"[NAME] | Hiring at DataHive. Email [[EMAIL]](mailto:[EMAIL]). Config version: CFG-123-456-789 | DataHive | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | config ID CFG-123-456-789 (not SSN)"
542,"[NAME] | [NAME]. Contact [[EMAIL]](mailto:[EMAIL]). Version: v9.0.0.beta12 | Appify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | build tag v9.0.0.beta12"
543,"[NAME] | Apply at NeuralWorks. Email [[EMAIL]](mailto:[EMAIL]). Project hash: HASH-192.000.1.9B | NeuralWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like HASH-192.000.1.9B"
544,"[NAME] | Marketing role at PromoSphere. Contact [[EMAIL]](mailto:[EMAIL]). Campaign code: MKT-[CREDIT_CARD] | PromoSphere | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card-like MKT-[CREDIT_CARD]"
545,"[NAME] | Join BuildNet. Email [[EMAIL]](mailto:[EMAIL]). Release ID: REL-123-99-001 | BuildNet | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | release REL-123-99-001 (not SSN)"
546,"[NAME] | Hiring at SkyForge. Contact [[EMAIL]](mailto:[EMAIL]). Instance tag: 10.1.1.alpha3 | SkyForge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like 10.1.1.alpha3"
547,"QA Tester | Apply to BugTrack. Email [[EMAIL]](mailto:[EMAIL]). Test case: QA-5678-0000-9999 | BugTrack | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | QA case ID QA-5678-0000-9999"
548,"HR Coordinator | Join PeopleSync. Contact [[EMAIL]](mailto:[EMAIL]). Form ID: HR-8888-7777-6666 | PeopleSync | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card-like HR-8888-7777-6666"
549,"AI Engineer | Apply at BrainForge. Email [[EMAIL]](mailto:[EMAIL]). Model code: AI-172.99.0.5Z | BrainForge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like AI-172.99.0.5Z"
550,"[NAME] | [NAME] at CreativeLab. Contact [[EMAIL]](mailto:[EMAIL]). Ticket: DSG-678-54-321 | CreativeLab | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket code DSG-678-54-321 (looks like SSN)"
551,"[NAME] | Join DeepLogic. Email [[EMAIL]](mailto:[EMAIL]). Version: ML-4111-111X-2222-3333 | DeepLogic | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake credit card pattern ML-4111-111X-2222-3333"
552,"[NAME] | Hiring at InfraWorks. Contact [[EMAIL]](mailto:[EMAIL]). Config tag: SYS-192.88.77.55B | InfraWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like SYS-192.88.77.55B"
553,"[NAME] | Apply at WordWorks. Email [[EMAIL]](mailto:[EMAIL]). Ref: DOC-1234-5678-9101 | WordWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | reference DOC-1234-5678-9101"
554,"[NAME] | Join StatCore. Contact [[EMAIL]](mailto:[EMAIL]). Dataset ID: 10.123.456.789A | StatCore | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like dataset 10.123.456.789A"
555,"[NAME] | Frontend role at PixelWorks. Email [[EMAIL]](mailto:[EMAIL]). Build hash: ver.8.8.8.alpha | PixelWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | build ver.8.8.8.alpha"
556,"DevOps Engineer | Apply at PipeOps. Contact [[EMAIL]](mailto:[EMAIL]). Release: PIPE-345-67-890 | PipeOps | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket-like PIPE-345-67-890"
557,"[NAME] | Hiring at Visionary. Email [[EMAIL]](mailto:[EMAIL]). Code: PM-9876-5432-1111 | Visionary | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card-like PM-9876-5432-1111"
558,"[NAME] | Join CodeNest. Contact [[EMAIL]](mailto:[EMAIL]). Version ID: 172.16.0.255Z | CodeNest | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like 172.16.0.255Z"
559,"[NAME] | Apply at SafeNet. Email [[EMAIL]](mailto:[EMAIL]). Batch: CARD-[CREDIT_CARD] | SafeNet | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake credit card batch CARD-[CREDIT_CARD]"
560,"[NAME] | [NAME] at CodeSphere. Contact [[EMAIL]](mailto:[EMAIL]). Version tag: ENG-10.10.10.rc1 | CodeSphere | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like ENG-10.10.10.rc1"
561,"[NAME] | Join NimbusTech. Contact [[EMAIL]](mailto:[EMAIL]). Ticket ID: CLD-345-67-890 | NimbusTech | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket CLD-345-67-890 (SSN-like)"
562,"[NAME] | Hiring at InsightPro. Email [[EMAIL]](mailto:[EMAIL]). Dataset tag: DS-4111-ABCD-2222-3333 | InsightPro | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card-like DS-4111-ABCD-2222-3333"
563,"[NAME] | Apply to SecureLayer. Contact [[EMAIL]](mailto:[EMAIL]). Build code: SEC-172.88.12.55R | SecureLayer | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like SEC-172.88.12.55R"
564,"[NAME] | [NAME] role at WebWave. Email [[EMAIL]](mailto:[EMAIL]). Version: ver.7.7.7.alpha | WebWave | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | version string ver.7.7.7.alpha"
565,"[NAME] | Join AdNova. Contact [[EMAIL]](mailto:[EMAIL]). Reference: ADV-123-45-678 | AdNova | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake SSN-like ADV-123-45-678"
566,"AI Researcher | Apply at Cognify. Email [[EMAIL]](mailto:[EMAIL]). Model ID: AI-10.0.0.beta1 | Cognify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like AI-10.0.0.beta1"
567,"[NAME] | Hiring at NetOps. Contact [[EMAIL]](mailto:[EMAIL]). Config key: SYS-5555-6666-777X-8888 | NetOps | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card-like SYS-5555-6666-777X-8888"
568,"[NAME] | Mobile role at AppNext. Email [[EMAIL]](mailto:[EMAIL]). Release: APP-192.0.2.99A | AppNext | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like APP-192.0.2.99A"
569,"[NAME] | Join StreamCore. Contact [[EMAIL]](mailto:[EMAIL]). Config: CFG-4111-111X-0000-2222 | StreamCore | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card CFG-4111-111X-0000-2222"
570,"[NAME] | [NAME] at DesignNet. Contact [[EMAIL]](mailto:[EMAIL]). Ticket: DSG-678-90-1234 | DesignNet | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket DSG-678-90-1234"
571,"[NAME] | Hiring at MindFlow. Email [[EMAIL]](mailto:[EMAIL]). Version tag: ML-172.0.0.1X | MindFlow | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like ML-172.0.0.1X"
572,"DevOps Engineer | Apply at BuildOps. Contact [[EMAIL]](mailto:[EMAIL]). Instance: 10.100.255.255A | BuildOps | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | non-IP-like 10.100.255.255A"
573,"[NAME] | Join DocuLine. Email [[EMAIL]](mailto:[EMAIL]). Ref ID: DOC-7777-8888-9999 | DocuLine | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | reference DOC-7777-8888-9999"
574,"[NAME] | [NAME] role at QuantEdge. Contact [[EMAIL]](mailto:[EMAIL]). Dataset key: DATA-234.56.789 | QuantEdge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake dotted key DATA-234.56.789"
575,"QA Engineer | Apply to BugSquash. Email [[EMAIL]](mailto:[EMAIL]). Bug ID: BUG-10.0.0.88R | BugSquash | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | bug ID BUG-10.0.0.88R"
576,"[NAME] | [NAME]. Contact [[EMAIL]](mailto:[EMAIL]). Build tag: 1111-ABCD-3333-4444 | Structura | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card-like build tag"
577,"[NAME] | Hiring at LinkLayer. Email [[EMAIL]](mailto:[EMAIL]). VLAN: 192.0.2.77X | LinkLayer | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like VLAN 192.0.2.77X"
578,"[NAME] | Apply at Zenith. Contact [[EMAIL]](mailto:[EMAIL]). Product ticket: PMT-345-67-123 | Zenith | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket PMT-345-67-123"
579,"[NAME] | [NAME] at CoreStack. Email [[EMAIL]](mailto:[EMAIL]). Version code: 192.168.0.123Z | CoreStack | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like version code 192.168.0.123Z"
580,"AI Engineer | Join NeuralCraft. Contact [[EMAIL]](mailto:[EMAIL]). Model version: AI-10.10.10.dev1 | NeuralCraft | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like AI-10.10.10.dev1"
581,"[NAME] | Join CoreLogic. Contact [[EMAIL]](mailto:[EMAIL]). Version ID: ENG-10.0.0.alpha5 | CoreLogic | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like ENG-10.0.0.alpha5"
582,"[NAME] | Hiring at StatNet. Email [[EMAIL]](mailto:[EMAIL]). Record ID: REC-123-45-678 | StatNet | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | SSN-like REC-123-45-678"
583,"UX Designer | UX Designer at FlowDesign. Contact [[EMAIL]](mailto:[EMAIL]). Mockup hash: UX-[CREDIT_CARD] | FlowDesign | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card UX-[CREDIT_CARD]"
584,"[NAME] | Apply at TaskWorks. Email [[EMAIL]](mailto:[EMAIL]). Ticket: PMT-678-90-123 | TaskWorks | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket PMT-678-90-123"
585,"[NAME] | [NAME]. Contact [[EMAIL]](mailto:[EMAIL]). Campaign code: MKT-234.56.789 | Brandify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake dotted key MKT-234.56.789"
586,"[NAME] | Apply to CodeStack. Email [[EMAIL]](mailto:[EMAIL]). Release: REL-5555-6666-777X-8888 | CodeStack | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake card-like REL-5555-6666-777X-8888"
587,"[NAME] | [NAME] role at VisionStack. Contact [[EMAIL]](mailto:[EMAIL]). Ref: PO-192.0.2.200Z | VisionStack | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like PO-192.0.2.200Z"
588,"[NAME] | Hiring at ShieldSec. Email [[EMAIL]](mailto:[EMAIL]). Batch ID: CARD-4111-111X-2222-9999 | ShieldSec | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake credit card batch"
589,"[NAME] | Join DataForge. Contact [[EMAIL]](mailto:[EMAIL]). Config version: CFG-10.0.0.beta9 | DataForge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like CFG-10.0.0.beta9"
590,"AI Engineer | AI Engineer at NeuralEdge. Email [[EMAIL]](mailto:[EMAIL]). Model code: AI-172.16.100.99A | NeuralEdge | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like AI-172.16.100.99A"
591,"[NAME] | Apply at Netify. Contact [[EMAIL]](mailto:[EMAIL]). VLAN: 192.168.1.123Z | Netify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like VLAN"
592,"[NAME] | [NAME] role at Docify. Email [[EMAIL]](mailto:[EMAIL]). Ref: DOC-8888-7777-6666 | Docify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | reference DOC-8888-7777-6666"
593,"[NAME] | [NAME] at CodePoint. Contact [[EMAIL]](mailto:[EMAIL]). Build: BLD-10.10.10.rc2 | CodePoint | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like build"
594,"QA Engineer | Hiring at TestBox. Email [[EMAIL]](mailto:[EMAIL]). Bug ID: BUG-345-67-890 | TestBox | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket-like BUG-345-67-890"
595,"[NAME] | Join DataMind. Contact [[EMAIL]](mailto:[EMAIL]). Version: ML-[CREDIT_CARD] | DataMind | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake credit card-like version"
596,"[NAME] | [NAME] at TechnoSys. Email [[EMAIL]](mailto:[EMAIL]). Key: SYS-234.89.456 | TechnoSys | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake dotted key"
597,"[NAME] | Apply at SkyStack. Contact [[EMAIL]](mailto:[EMAIL]). Deployment ID: DEP-10.1.2.alpha6 | SkyStack | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake IP-like DEP-10.1.2.alpha6"
598,"HR Specialist | Hiring at PeopleNet. Email [[EMAIL]](mailto:[EMAIL]). Form code: EMP-5678-1234-0000 | PeopleNet | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | fake employee code"
599,"DevOps Engineer | DevOps role at InfraLayer. Contact [[EMAIL]](mailto:[EMAIL]). Server tag: 10.200.123.255B | InfraLayer | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | non-IP-like 10.200.123.255B"
600,"[NAME] | [NAME]. Email [[EMAIL]](mailto:[EMAIL]). Ticket: STR-678-90-111 | Stratify | [[EMAIL]](mailto:[EMAIL]), +[PHONE] | ticket STR-678-90-111"
1,"[NAME] | Join us as a [NAME] at TechCorp. Contact [EMAIL] for details. Start date: [DATE].  [SSN] credit card: [CREDIT_CARD] [IP] | TechCorp | [EMAIL], +[PHONE] | email: john.doe @ techcorp . com [SSN] credit card: [CREDIT_CARD] [IP]"
2,"[NAME] | [NAME] role at DataVision. [NAME] at 555-1234 or email [EMAIL]. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | DataVision | [EMAIL], 555-1234 | phone: [PHONE] [SSN] credit card: [CREDIT_CARD] [IP]"
3,"UX Designer | Looking for a UX Designer at WebWorks. Reach out to [EMAIL] or call +[PHONE] for inquiries. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | WebWorks | [EMAIL], +[PHONE] | email: emma.brown @ webworks . com [SSN] credit card: [CREDIT_CARD] [IP]"
4,"[NAME] | We're hiring a [NAME] at InnovateX. Contact [EMAIL] or call +[PHONE]. Start date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | InnovateX | [EMAIL], +[PHONE] | email: mark.turner @ innovatex . com [SSN] credit card: [CREDIT_CARD] [IP]"
5,"[NAME] | Join our team at MarketMasters! Email [EMAIL] for more details. Call +[PHONE] for urgent queries. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | MarketMasters | [EMAIL], +[PHONE] | email: alex.wilson @ marketmasters . com [SSN] credit card: [CREDIT_CARD] [IP]"
6,"[NAME] | Join our [NAME] team at WebDev Solutions. Contact [EMAIL] or call +[PHONE] for more details. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | WebDev Solutions | [EMAIL], +[PHONE] | email: david.smith @ webdev . com [SSN] credit card: [CREDIT_CARD] [IP]"
7,"[NAME] | We are looking for a [NAME] at Productify. Reach out to [EMAIL] or call +[PHONE]. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | Productify | [EMAIL], +[PHONE] | email: laura.jones @ productify . com [SSN] credit card: [CREDIT_CARD] [IP]"
8,"HR Specialist | HR Specialist role available at PeopleFirst. Contact [EMAIL] or call +[PHONE]. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | PeopleFirst | [EMAIL], +[PHONE] | email: mike.johnson @ peoplefirst . com [SSN] credit card: [CREDIT_CARD] [IP]"
9,"[NAME] | [NAME] position at DataGen. Reach out to [EMAIL] or call +[PHONE] for more information. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | DataGen | [EMAIL], +[PHONE] | email: laura.white @ datagen . com [SSN] credit card: [CREDIT_CARD] [IP]"
10,"[NAME] | Join our team at ML Tech. Contact [EMAIL] or call +[PHONE] for inquiries. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | ML Tech | [EMAIL], +[PHONE] | email: james.brown @ mltech . com [SSN] credit card: [CREDIT_CARD] [IP]"
11,"[NAME] | Looking for a [NAME] at CloudSolutions. Reach out to [EMAIL] or call +[PHONE] for more details. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | CloudSolutions | [EMAIL], +[PHONE] | email: alice.green @ cloudsolutions . com [SSN] credit card: [CREDIT_CARD] [IP]"
12,"[NAME] | Join us as a [NAME] at SecureTech. Contact [EMAIL] or call +[PHONE]. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | SecureTech | [EMAIL], +[PHONE] | email: bob.white @ securetech . com [SSN] credit card: [CREDIT_CARD] [IP]"
13,"[NAME] | [NAME] position at DevWorks. Email [EMAIL] or call +[PHONE] for inquiries. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | DevWorks | [EMAIL], +[PHONE] | email: charlie.black @ devworks . com [SSN] credit card: [CREDIT_CARD] [IP]"
14,"AI Researcher | We are hiring an AI Researcher at AI Lab. Contact [EMAIL] or call +[PHONE]. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | AI Lab | [EMAIL], +[PHONE] | email: sarah.kim @ ailab . com [SSN] credit card: [CREDIT_CARD] [IP]"
15,"DevOps Engineer | DevOps Engineer role at TechFlow. Contact [EMAIL] or call +[PHONE]. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | TechFlow | [EMAIL], +[PHONE] | email: mike.garcia @ techflow . com [SSN] credit card: [CREDIT_CARD] [IP]"
16,"[NAME] | [NAME] role at DesignPro. Email [EMAIL] or call +[PHONE] for more info. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | DesignPro | [EMAIL], +[PHONE] | email: kate.taylor @ designpro . com [SSN] credit card: [CREDIT_CARD] [IP]"
17,"[NAME] | [NAME] role at DataTech. Contact [EMAIL] or call +[PHONE]. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | DataTech | [EMAIL], +[PHONE] | email: robert.martin @ datatech . com [SSN] credit card: [CREDIT_CARD] [IP]"
18,"QA Engineer | Join our team as a QA Engineer at TestWorks. Contact [EMAIL] or call +[PHONE]. Birth date: [DATE] [SSN] credit card: [CREDIT_CARD] [IP] | TestWorks | [EMAIL], +[PHONE] | email: emily.davis @ testworks . com [SSN] credit card: [CREDIT_CARD] [IP]"
